[1]	0.000000e+00 0.000000e+00 0.000000e+00        1        0
[2]	0.000000e+00 0.000000e+00 1.000000e+00        1        0
[3]	0.000000e+00 0.000000e+00 2.000000e+00        1        0
[4]	0.000000e+00 0.000000e+00 3.000000e+00        1        0
[5]	0.000000e+00 0.000000e+00 4.000000e+00        1        0
[6]	0.000000e+00 0.000000e+00 5.000000e+00        1        0
[7]	0.000000e+00 0.000000e+00 6.000000e+00        1        0
[8]	0.000000e+00 0.000000e+00 7.000000e+00        1        0
[9]	0.000000e+00 0.000000e+00 8.000000e+00        1        0
[10]	0.000000e+00 0.000000e+00 9.000000e+00        1        0
[11]	0.000000e+00 0.000000e+00 1.000000e+01        1        0
[12]	0.000000e+00 0.000000e+00 1.100000e+01        1        0
[13]	0.000000e+00 0.000000e+00 1.200000e+01        1        0
[14]	0.000000e+00 0.000000e+00 1.300000e+01        1        0
[15]	0.000000e+00 0.000000e+00 1.400000e+01        1        0
[16]	0.000000e+00 0.000000e+00 1.500000e+01        1        0
[17]	0.000000e+00 0.000000e+00 1.600000e+01        1        0
[18]	0.000000e+00 0.000000e+00 1.700000e+01        1        0
[19]	0.000000e+00 0.000000e+00 1.800000e+01        1        0
[20]	0.000000e+00 0.000000e+00 1.900000e+01        1        0
[21]	0.000000e+00 0.000000e+00 2.000000e+01        1        0
[22]	0.000000e+00 0.000000e+00 2.100000e+01        1        0
[23]	0.000000e+00 0.000000e+00 2.200000e+01        1        0
[24]	0.000000e+00 0.000000e+00 2.300000e+01        1        0
[25]	0.000000e+00 0.000000e+00 2.400000e+01        1        0
[26]	0.000000e+00 0.000000e+00 2.500000e+01        1        0
[27]	0.000000e+00 0.000000e+00 2.600000e+01        1        0
[28]	0.000000e+00 0.000000e+00 2.700000e+01        1        0
[29]	0.000000e+00 0.000000e+00 2.800000e+01        1        0
[30]	0.000000e+00 0.000000e+00 2.900000e+01        1        0
[31]	0.000000e+00 0.000000e+00 3.000000e+01        1        0
[32]	0.000000e+00 0.000000e+00 3.100000e+01        1        0
[33]	0.000000e+00 0.000000e+00 3.200000e+01        1        0
[34]	0.000000e+00 0.000000e+00 3.300000e+01        1        0
[35]	0.000000e+00 0.000000e+00 3.400000e+01        1        0
[36]	0.000000e+00 0.000000e+00 3.500000e+01        1        0
[37]	0.000000e+00 0.000000e+00 3.600000e+01        1        0
[38]	0.000000e+00 0.000000e+00 3.700000e+01        1        0
[39]	0.000000e+00 0.000000e+00 3.800000e+01        1        0
[40]	0.000000e+00 0.000000e+00 3.900000e+01        1        0
[41]	0.000000e+00 0.000000e+00 4.000000e+01        1        0
[42]	0.000000e+00 0.000000e+00 4.100000e+01        1        0
[43]	0.000000e+00 0.000000e+00 4.200000e+01        1        0
[44]	0.000000e+00 0.000000e+00 4.300000e+01        1        0
[45]	0.000000e+00 0.000000e+00 4.400000e+01        1        0
[46]	0.000000e+00 0.000000e+00 4.500000e+01        1        0
[47]	0.000000e+00 0.000000e+00 4.600000e+01        1        0
[48]	0.000000e+00 0.000000e+00 4.700000e+01        1        0
[49]	0.000000e+00 0.000000e+00 4.800000e+01        1        0
[50]	0.000000e+00 0.000000e+00 4.900000e+01        1        0
[51]	0.000000e+00 1.000000e+00 0.000000e+00        1        0
[52]	0.000000e+00 1.000000e+00 1.000000e+00        1        0
[53]	0.000000e+00 1.000000e+00 2.000000e+00        1        0
[54]	0.000000e+00 1.000000e+00 3.000000e+00        1        0
[55]	0.000000e+00 1.000000e+00 4.000000e+00        1        0
[56]	0.000000e+00 1.000000e+00 5.000000e+00        1        0
[57]	0.000000e+00 1.000000e+00 6.000000e+00        1        0
[58]	0.000000e+00 1.000000e+00 7.000000e+00        1        0
[59]	0.000000e+00 1.000000e+00 8.000000e+00        1        0
[60]	0.000000e+00 1.000000e+00 9.000000e+00        1        0
[61]	0.000000e+00 1.000000e+00 1.000000e+01        1        0
[62]	0.000000e+00 1.000000e+00 1.100000e+01        1        0
[63]	0.000000e+00 1.000000e+00 1.200000e+01        1        0
[64]	0.000000e+00 1.000000e+00 1.300000e+01        1        0
[65]	0.000000e+00 1.000000e+00 1.400000e+01        1        0
[66]	0.000000e+00 1.000000e+00 1.500000e+01        1        0
[67]	0.000000e+00 1.000000e+00 1.600000e+01        1        0
[68]	0.000000e+00 1.000000e+00 1.700000e+01        1        0
[69]	0.000000e+00 1.000000e+00 1.800000e+01        1        0
[70]	0.000000e+00 1.000000e+00 1.900000e+01        1        0
[71]	0.000000e+00 1.000000e+00 2.000000e+01        1        0
[72]	0.000000e+00 1.000000e+00 2.100000e+01        1        0
[73]	0.000000e+00 1.000000e+00 2.200000e+01        1        0
[74]	0.000000e+00 1.000000e+00 2.300000e+01        1        0
[75]	0.000000e+00 1.000000e+00 2.400000e+01        1        0
[76]	0.000000e+00 1.000000e+00 2.500000e+01        1        0
[77]	0.000000e+00 1.000000e+00 2.600000e+01        1        0
[78]	0.000000e+00 1.000000e+00 2.700000e+01        1        0
[79]	0.000000e+00 1.000000e+00 2.800000e+01        1        0
[80]	0.000000e+00 1.000000e+00 2.900000e+01        1        0
[81]	0.000000e+00 1.000000e+00 3.000000e+01        1        0
[82]	0.000000e+00 1.000000e+00 3.100000e+01        1        0
[83]	0.000000e+00 1.000000e+00 3.200000e+01        1        0
[84]	0.000000e+00 1.000000e+00 3.300000e+01        1        0
[85]	0.000000e+00 1.000000e+00 3.400000e+01        1        0
[86]	0.000000e+00 1.000000e+00 3.500000e+01        1        0
[87]	0.000000e+00 1.000000e+00 3.600000e+01        1        0
[88]	0.000000e+00 1.000000e+00 3.700000e+01        1        0
[89]	0.000000e+00 1.000000e+00 3.800000e+01        1        0
[90]	0.000000e+00 1.000000e+00 3.900000e+01        1        0
[91]	0.000000e+00 1.000000e+00 4.000000e+01        1        0
[92]	0.000000e+00 1.000000e+00 4.100000e+01        1        0
[93]	0.000000e+00 1.000000e+00 4.200000e+01        1        0
[94]	0.000000e+00 1.000000e+00 4.300000e+01        1        0
[95]	0.000000e+00 1.000000e+00 4.400000e+01        1        0
[96]	0.000000e+00 1.000000e+00 4.500000e+01        1        0
[97]	0.000000e+00 1.000000e+00 4.600000e+01        1        0
[98]	0.000000e+00 1.000000e+00 4.700000e+01        1        0
[99]	0.000000e+00 1.000000e+00 4.800000e+01        1        0
[100]	0.000000e+00 1.000000e+00 4.900000e+01        1        0
[101]	0.000000e+00 2.000000e+00 0.000000e+00        1        0
[102]	0.000000e+00 2.000000e+00 1.000000e+00        1        0
[103]	0.000000e+00 2.000000e+00 2.000000e+00        1        0
[104]	0.000000e+00 2.000000e+00 3.000000e+00        1        0
[105]	0.000000e+00 2.000000e+00 4.000000e+00        1        0
[106]	0.000000e+00 2.000000e+00 5.000000e+00        1        0
[107]	0.000000e+00 2.000000e+00 6.000000e+00        1        0
[108]	0.000000e+00 2.000000e+00 7.000000e+00        1        0
[109]	0.000000e+00 2.000000e+00 8.000000e+00        1        0
[110]	0.000000e+00 2.000000e+00 9.000000e+00        1        0
[111]	0.000000e+00 2.000000e+00 1.000000e+01        1        0
[112]	0.000000e+00 2.000000e+00 1.100000e+01        1        0
[113]	0.000000e+00 2.000000e+00 1.200000e+01        1        0
[114]	0.000000e+00 2.000000e+00 1.300000e+01        1        0
[115]	0.000000e+00 2.000000e+00 1.400000e+01        1        0
[116]	0.000000e+00 2.000000e+00 1.500000e+01        1        0
[117]	0.000000e+00 2.000000e+00 1.600000e+01        1        0
[118]	0.000000e+00 2.000000e+00 1.700000e+01        1        0
[119]	0.000000e+00 2.000000e+00 1.800000e+01        1        0
[120]	0.000000e+00 2.000000e+00 1.900000e+01        1        0
[121]	0.000000e+00 2.000000e+00 2.000000e+01        1        0
[122]	0.000000e+00 2.000000e+00 2.100000e+01        1        0
[123]	0.000000e+00 2.000000e+00 2.200000e+01        1        0
[124]	0.000000e+00 2.000000e+00 2.300000e+01        1        0
[125]	0.000000e+00 2.000000e+00 2.400000e+01        1        0
